"Date","Time","Message"
"2025-10-16","00:51:06","User 'maxterm' does not exist. Creating account."
"2025-10-16","00:51:11","User 'maxterm' created."
"2025-10-16","00:51:11","User 'maxterm' added to sudo group."
"2025-10-16","00:51:11","Home directory for 'maxterm' created."
"2025-10-16","00:51:11","Permissions set for 'maxterm' on their home directory."
"2025-10-16","00:51:11","User 'rb' does not exist. Creating account."
"2025-10-16","00:51:12","User 'rb' created."
"2025-10-16","00:51:12","Home directory for 'rb' already exists."
"2025-10-16","00:51:12","Permissions set for 'rb' on their home directory."
"2025-10-16","00:54:14","User 'maxterm' does not exist. Creating..."
"2025-10-16","00:54:18","User 'maxterm' created."
"2025-10-16","00:54:18","User 'maxterm' added to sudo group."
"2025-10-16","00:54:18","Home directory for 'maxterm' already exists and permissions updated."
"2025-10-16","00:54:18","User 'rb' exists. Updating password."
"2025-10-16","00:54:19","User 'rb' removed from sudo group."
"2025-10-16","00:54:19","Home directory for 'rb' already exists and permissions updated."
"2025-10-16","00:55:37","User 'maxterm' exists. Updating password."
"2025-10-16","00:55:37","User 'maxterm' ensured in sudo group."
"2025-10-16","00:55:37","Home directory for 'maxterm' already exists and permissions updated."
"2025-10-16","00:55:37","User 'rb' exists. Updating password."
"2025-10-16","00:55:38","User 'rb' removed from sudo group."
"2025-10-16","00:55:38","Home directory for 'rb' already exists and permissions updated."
"2025-10-16","00:55:56","User 'maxterm' exists. Updating password."
"2025-10-16","00:55:56","User 'maxterm' ensured in sudo group."
"2025-10-16","00:55:56","Home directory for 'maxterm' already exists and permissions updated."
"2025-10-16","00:55:56","User 'robo' does not exist. Creating..."
"2025-10-16","00:55:56","User 'robo' created."
"2025-10-16","00:55:56","User 'robo' assigned standard privileges."
"2025-10-16","00:55:56","Home directory for 'robo' already exists and permissions updated."
"2025-10-16","02:07:33","User 'maxterm' exists. Updating password."
"2025-10-16","02:07:38","User 'maxterm' ensured in sudo group."
"2025-10-16","02:07:38","Home directory for 'maxterm' already exists and permissions updated."
"2025-10-16","02:07:38","User 'robo' exists. Updating password."
"2025-10-16","02:07:38","User 'robo' removed from sudo group."
"2025-10-16","02:07:38","Home directory for 'robo' already exists and permissions updated."
"2025-10-16","02:07:38","User 'Anand' does not exist. Creating..."
"2025-10-16","02:07:38","User 'Anand' created."
"2025-10-16","02:07:38","User 'Anand' added to sudo group."
"2025-10-16","02:07:38","Home directory for 'Anand' created and secured."
"2025-10-16","02:07:38","User 'john' does not exist. Creating..."
"2025-10-16","02:07:38","User 'john' created."
"2025-10-16","02:07:38","User 'john' assigned standard privileges."
"2025-10-16","02:07:38","Home directory for 'john' already exists and permissions updated."
"2025-10-16","02:07:38","User 'sara' does not exist. Creating..."
"2025-10-16","02:07:39","User 'sara' created."
"2025-10-16","02:07:39","User 'sara' assigned standard privileges."
"2025-10-16","02:07:39","Home directory for 'sara' already exists and permissions updated."
